TABLE NO.     4: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9925  1.54312E+00  1.57806E+00  6.91770E-01  2.38263E+00  6.52995E-02  2.01577E-01  2.60376E-02  2.01469E-01  1.95063E-02  3.54714E-02  1.34083E-01 -8.16172E-02  1.34102E-02 -1.76082E-02  1.24153E-01   -2205.23897751554
        -9924  1.58112E+00  1.54106E+00  6.95781E-01  2.29987E+00  6.52343E-02  1.95765E-01  2.30082E-02  1.82732E-01 -1.56547E-02  6.04064E-02  1.55931E-01 -8.27796E-02  1.15326E-02  5.87596E-03  1.38837E-01   -2201.91115649151
        -9923  1.67291E+00  1.53496E+00  7.02649E-01  2.23713E+00  6.12549E-02  1.73752E-01  4.81621E-02  1.78704E-01 -2.74240E-02  1.02970E-02  1.24986E-01 -2.40542E-02  3.29566E-02 -6.85356E-03  1.00261E-01   -2200.13785651521
        -9922  1.56189E+00  1.59832E+00  6.18475E-01  2.32831E+00  6.13277E-02  1.56676E-01  4.85040E-02  1.63427E-01 -2.06607E-02  1.16943E-02  1.73302E-01 -1.40413E-02  2.49852E-02  1.06039E-02  7.09865E-02   -2199.90774233314
        -9921  1.62278E+00  1.52614E+00  6.76124E-01  2.29027E+00  5.88846E-02  2.22542E-01  8.50109E-03  2.02799E-01 -1.16298E-02  4.67405E-02  1.61248E-01 -5.29413E-02  5.81592E-02  7.69982E-03  1.23583E-01   -2211.63604808508
        -9920  1.52258E+00  1.50901E+00  7.52651E-01  2.28496E+00  5.72313E-02  2.41439E-01  5.47380E-02  2.42238E-01  3.00602E-02  7.92419E-02  2.05779E-01 -1.46817E-02  2.43974E-02 -2.72703E-02  8.79773E-02   -2198.63625018028
        -9919  1.54536E+00  1.62503E+00  7.56305E-01  2.31894E+00  6.59926E-02  1.69051E-01  1.42192E-02  1.29526E-01  7.95236E-03  4.30897E-02  1.46467E-01 -4.73454E-02  1.88844E-02 -2.29872E-02  9.44481E-02   -2201.43468387004
        -9918  1.62823E+00  1.48010E+00  6.32676E-01  2.29714E+00  6.80204E-02  2.08046E-01  2.41382E-02  2.04125E-01  1.00884E-02  4.96425E-02  1.65800E-01 -3.41698E-02  3.27371E-02 -5.23358E-02  1.26591E-01   -2196.71069906823
        -9917  1.63396E+00  1.55967E+00  6.62878E-01  2.31814E+00  7.07978E-02  1.68801E-01  9.08253E-03  1.63408E-01  1.37974E-02  4.23736E-02  1.45890E-01 -2.32455E-02  1.62182E-02 -1.34051E-02  8.77788E-02   -2182.35481168304
        -9916  1.63560E+00  1.54703E+00  6.98486E-01  2.31778E+00  7.76483E-02  1.88793E-01 -1.90371E-02  1.32817E-01  2.86093E-04  3.38238E-02  1.22640E-01 -3.07363E-02  1.64105E-02 -2.21951E-02  1.05471E-01   -2219.57954563146
        -9915  1.64113E+00  1.52328E+00  7.06190E-01  2.28405E+00  6.51145E-02  1.56428E-01  1.77959E-02  1.42384E-01 -2.01476E-02  2.17160E-02  1.38858E-01 -2.00818E-02  3.07725E-02 -2.03366E-02  9.52367E-02   -2242.42225582606
        -9914  1.58957E+00  1.50748E+00  6.78542E-01  2.24916E+00  6.08712E-02  1.64646E-01  7.79845E-03  1.36762E-01  1.58009E-02  6.71403E-02  1.46257E-01 -2.92062E-02  3.02862E-02 -8.09441E-03  8.93132E-02   -2279.37818171648
        -9913  1.66787E+00  1.57399E+00  7.21470E-01  2.28248E+00  5.24396E-02  1.59830E-01  2.93593E-02  1.34089E-01  3.04712E-02  7.20238E-02  1.77542E-01 -3.40555E-02  2.10878E-02 -8.99647E-03  1.04977E-01   -2257.72440371391
        -9912  1.63659E+00  1.48089E+00  6.39521E-01  2.22436E+00  6.32855E-02  1.48797E-01  4.53602E-02  1.86625E-01  3.05665E-02  6.60021E-02  1.32200E-01 -1.61161E-02  2.31782E-02 -2.05814E-02  9.40597E-02   -2224.36686178944
        -9911  1.61145E+00  1.53421E+00  6.18483E-01  2.24399E+00  6.29495E-02  2.04780E-01  2.40415E-02  1.44900E-01  3.70196E-02  5.06444E-02  1.31356E-01 -3.33500E-02  2.64163E-02 -1.88460E-02  8.89244E-02   -2214.25904050890
